alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
10.28,2.0,67.92,,yt02_003500.jpg,67.92,105.5,85.79,True,172.28,89.37,0.81,yt02,0.7,Neutral Standing,,130.07,True,0.76,58.18
10.3,2.0,62.49,,yt02_003550.jpg,62.49,139.11,80.49,True,177.04,76.83,3.15,yt02,0.7,Neutral Standing,,129.96,True,1.03,47.06
10.65,2.0,54.74,,yt02_003600.jpg,54.74,122.23,74.91,True,178.18,103.32,9.05,yt02,0.7,Neutral Standing,,145.27,True,3.63,50.88
11.35,2.0,57.41,,yt02_003650.jpg,57.41,80.29,100.89,True,170.02,107.18,16.12,yt02,0.7,Neutral Standing,,141.9,True,2.89,56.99
12.09,2.0,55.16,,yt02_003700.jpg,55.16,111.58,113.32,True,163.03,79.0,22.79,yt02,0.7,Neutral Standing,,135.34,True,1.0,58.98
12.07,2.0,61.21,,yt02_003750.jpg,61.21,125.49,120.58,True,161.15,116.28,20.22,yt02,0.7,Neutral Standing,,135.29,True,0.84,75.07
12.19,2.0,59.62,,yt02_003800.jpg,59.62,139.91,119.16,True,161.67,89.27,24.11,yt02,0.7,Neutral Standing,,136.54,True,1.29,62.79
12.35,2.0,60.57,,yt02_003850.jpg,60.57,127.54,105.08,True,164.43,105.51,21.48,yt02,0.7,Neutral Standing,,136.73,True,1.48,69.51
11.91,2.0,51.3,,yt02_003900.jpg,51.3,122.09,103.4,True,163.52,98.98,6.74,yt02,0.7,Neutral Standing,,140.26,True,2.35,59.13
5.15,2.0,23.94,,yt03_000177.jpg,23.94,157.37,87.74,True,73.78,162.41,23.05,yt03,0.7,Neutral Standing,,161.98,True,4.4,8.77
15.71,2.0,39.65,,yt03_000354.jpg,39.65,63.85,17.53,True,89.6,148.92,12.79,yt03,0.7,Neutral Standing,,156.64,True,6.79,93.14
23.77,2.0,66.89,,yt03_000649.jpg,66.89,170.21,112.26,True,113.44,137.34,159.57,yt03,0.7,Neutral Standing,,159.16,True,33.09,53.21
12.89,2.0,56.43,,yt03_000708.jpg,56.43,83.88,126.13,True,94.07,134.42,8.01,yt03,0.7,Neutral Standing,,177.97,True,3.09,50.53
12.5,2.0,58.61,,yt03_000767.jpg,58.61,99.76,118.37,True,98.68,124.26,7.98,yt03,0.7,Neutral Standing,,178.2,True,3.99,49.23
17.14,2.0,55.05,,yt03_000826.jpg,55.05,168.73,133.01,True,61.02,136.6,32.58,yt03,0.7,Neutral Standing,,145.84,True,3.01,67.74
14.62,2.0,78.73,,yt03_000885.jpg,78.73,165.91,123.38,True,67.55,117.21,24.43,yt03,0.7,Neutral Standing,,133.08,True,1.86,82.44
13.0,2.0,1.48,,yt03_000944.jpg,1.48,80.42,168.36,True,129.71,154.44,0.97,yt03,0.7,Neutral Standing,,150.6,True,0.98,3.94
11.14,2.0,11.16,,yt03_001062.jpg,11.16,99.69,11.7,True,132.41,5.78,34.31,yt03,0.7,Neutral Standing,,89.11,True,6.92,28.59
12.3,2.0,56.11,,yt03_001239.jpg,56.11,166.74,175.07,True,97.32,177.2,5.75,yt03,0.7,Neutral Standing,,177.32,True,2.82,33.57
12.27,2.0,54.81,,yt03_001298.jpg,54.81,163.48,175.65,True,97.7,177.25,5.31,yt03,0.7,Neutral Standing,,177.22,True,2.79,33.39
12.31,2.0,25.82,,yt03_001357.jpg,25.82,166.15,152.43,True,115.05,166.2,10.32,yt03,0.7,Neutral Standing,,161.55,True,1.49,11.94
9.41,2.0,44.24,,yt03_001475.jpg,44.24,79.46,154.23,True,73.39,133.46,13.3,yt03,0.7,Neutral Standing,,133.33,True,0.41,34.68
