source,sample_id,neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,label
multiposture,multiposture_4406,14.3175,11.7674,35.7954,20.0887,10.121,19.2625,MEDIUM
multiposture,multiposture_4407,12.9617,12.1005,36.1901,20.1365,9.2501,20.5749,MEDIUM
multiposture,multiposture_4408,9.4614,12.823,36.7792,20.7105,7.6869,23.688,MEDIUM
multiposture,multiposture_4409,6.7088,14.3227,37.5324,18.105,5.5085,28.1014,MEDIUM
multiposture,multiposture_4410,3.1421,15.7515,39.2896,16.3895,3.1674,35.437,MEDIUM
multiposture,multiposture_4411,1.5277,15.6351,39.6095,16.0808,3.0432,33.0576,MEDIUM
multiposture,multiposture_4412,4.0019,16.0843,39.4233,15.6442,1.7498,32.8609,MEDIUM
multiposture,multiposture_4413,5.9866,16.0773,38.9595,15.2671,2.0147,31.9697,MEDIUM
multiposture,multiposture_4414,6.3556,16.0362,38.7918,14.9415,2.1107,31.7107,MEDIUM
multiposture,multiposture_4415,6.8677,15.9747,38.6963,14.7938,1.7607,31.3935,MEDIUM
multiposture,multiposture_4416,7.4625,16.0019,38.6301,14.6458,1.7888,31.1866,MEDIUM
multiposture,multiposture_4417,7.6993,15.9633,38.3526,14.6567,1.7958,31.007,MEDIUM
multiposture,multiposture_4418,8.1734,16.0601,38.1088,14.4797,1.8053,30.9853,MEDIUM
multiposture,multiposture_4419,8.3771,16.1,38.1331,14.2869,1.7328,30.9815,MEDIUM
multiposture,multiposture_4420,8.5388,16.0961,38.1009,14.1315,1.7306,30.9109,MEDIUM
multiposture,multiposture_4421,8.7875,16.1642,38.0213,14.1995,1.66,30.9435,MEDIUM
multiposture,multiposture_4422,8.807,16.1406,38.0188,14.2501,1.3852,30.8786,MEDIUM
multiposture,multiposture_4423,8.9163,16.1762,38.2652,14.0661,1.2649,30.9151,MEDIUM
multiposture,multiposture_4424,9.1396,16.172,38.4855,14.1976,1.3467,30.8397,MEDIUM
multiposture,multiposture_4425,8.9119,16.1478,38.4668,14.4296,1.4052,30.8911,MEDIUM
multiposture,multiposture_4426,8.9373,16.2584,38.4888,14.2751,1.4397,31.1046,MEDIUM
multiposture,multiposture_4427,8.9956,16.2593,38.8092,14.2,1.453,31.0831,MEDIUM
multiposture,multiposture_4428,8.5795,16.1235,38.8933,14.1408,1.4591,30.9821,MEDIUM
multiposture,multiposture_4429,8.3947,16.0693,38.8597,14.3293,1.6226,30.9588,MEDIUM
multiposture,multiposture_4430,8.3582,16.0939,38.8212,14.5856,1.6084,31.0258,MEDIUM
multiposture,multiposture_4431,8.3281,16.0878,38.5635,14.7924,1.5065,31.0282,MEDIUM
multiposture,multiposture_4432,8.3762,16.1127,38.5595,15.1193,1.7207,31.0809,MEDIUM
multiposture,multiposture_4433,4.7385,4.2032,27.5174,16.0796,22.2901,7.0535,HIGH
multiposture,multiposture_4434,4.6387,4.1027,25.919,16.1201,22.2048,6.8866,HIGH
multiposture,multiposture_4435,5.9225,4.5195,23.8714,16.2541,22.4646,7.2022,HIGH
multiposture,multiposture_4436,5.8727,4.5209,22.984,16.7724,22.5578,7.2447,HIGH
multiposture,multiposture_4437,6.42,4.4445,22.1899,17.1593,21.9257,6.8162,HIGH
multiposture,multiposture_4438,8.3685,4.4593,22.5086,17.3552,21.6362,5.9209,HIGH
multiposture,multiposture_4439,8.3177,4.5042,22.9222,17.4856,20.7746,6.0042,HIGH
multiposture,multiposture_4440,9.0101,4.7783,23.0005,17.7619,20.524,6.2661,HIGH
multiposture,multiposture_4441,8.7779,4.5565,23.9161,17.9171,19.895,5.8977,HIGH
multiposture,multiposture_4442,8.6399,4.4919,24.3884,17.9695,19.5791,5.8346,HIGH
multiposture,multiposture_4443,8.5034,4.3975,24.7057,17.8928,19.5408,5.6942,HIGH
multiposture,multiposture_4444,8.6985,4.4204,24.8187,17.8912,19.1766,5.663,HIGH
multiposture,multiposture_4445,8.6111,4.4389,24.4226,17.3225,19.1075,5.7371,HIGH
multiposture,multiposture_4446,8.1931,4.6219,23.9585,17.3754,19.1063,6.3551,HIGH
multiposture,multiposture_4447,6.8597,4.5015,24.2334,17.4437,19.1583,6.7293,HIGH
multiposture,multiposture_4448,7.1554,4.4965,24.2425,17.5471,19.1823,6.5777,HIGH
multiposture,multiposture_4449,7.5486,4.5482,24.2914,17.6184,19.2192,6.5051,HIGH
multiposture,multiposture_4450,7.9809,4.4215,24.5501,17.5816,19.2431,6.0196,HIGH
multiposture,multiposture_4451,7.9132,4.4302,24.5922,17.6177,18.9213,6.0547,HIGH
multiposture,multiposture_4452,8.0074,4.3208,24.628,17.842,19.0095,5.7712,HIGH
